"InvoiceNo","CustomerID","Quantity","UnitPrice","TotalSales","InvoiceDate"
"538308","14107.0","10","1.65","16.5","2010-12-10"
"538309","15881.0","48","2.1","100.80000000000001","2010-12-10"
"538310","15529.0","12","0.85","10.2","2010-12-10"
"538312","16727.0","4","0.85","3.4","2010-12-10"
"538313","15514.0","48","1.25","60","2010-12-10"
"538327","15514.0","1","0.42","0.42","2010-12-10"
"538342","15514.0","47","0.85","39.949999999999996","2010-12-10"
"538343","13448.0","6","2.95","17.700000000000003","2010-12-10"
"538345","13787.0","4","3.75","15","2010-12-10"
"538346","17865.0","3","4.95","14.850000000000001","2010-12-10"
"538347","17220.0","3","4.95","14.850000000000001","2010-12-10"
"538352","16565.0","40","3.45","138","2010-12-10"
"538353","13798.0","48","1.25","60","2010-12-10"
"538354","16873.0","48","1.25","60","2010-12-10"
"538355","17912.0","2","4.95","9.9","2010-12-10"
"538356","14062.0","18","1.25","22.5","2010-12-10"
"538361","17757.0","2","5.95","11.9","2010-12-10"
"538363","18016.0","3","0.95","2.8499999999999996","2010-12-10"
"538364","14448.0","2","0.85","1.7","2010-12-10"
"538365","17243.0","1","0.95","0.95","2010-12-12"
"538366","18109.0","9","2.95","26.55","2010-12-12"
"538367","14800.0","10","2.1","21","2010-12-12"
"538368","15503.0","1","8.5","8.5","2010-12-12"
"538369","17251.0","5","1.25","6.25","2010-12-12"
"538370","16923.0","2","12.75","25.5","2010-12-12"
"538371","15570.0","1","3.75","3.75","2010-12-12"
"538374","14159.0","1","1.45","1.45","2010-12-12"
"538378","14577.0","2","0.95","1.9","2010-12-12"
"538379","17126.0","1","0.95","0.95","2010-12-12"
"538382","17218.0","2","3.75","7.5","2010-12-12"
"538403","17211.0","4","3.75","15","2010-12-12"
"538409","17236.0","16","1.69","27.04","2010-12-12"
"538417","16393.0","10","1.25","12.5","2010-12-12"
"538418","17372.0","2","2.1","4.2","2010-12-12"
"538419","16367.0","1","0.95","0.95","2010-12-12"
"538420","12875.0","1728","0.17","293.76000000000005","2010-12-12"
"538421","17917.0","1","1.65","1.65","2010-12-12"
"538437","16010.0","2","3.75","7.5","2010-12-12"
"538449","17085.0","3","0.85","2.55","2010-12-12"
"538453","16779.0","6","1.65","9.899999999999999","2010-12-12"
"538470","15224.0","1","9.95","9.95","2010-12-12"
"538473","13668.0","4","5.95","23.8","2010-12-12"
"538488","13715.0","2","1.95","3.9","2010-12-12"
"538497","14684.0","1","1.95","1.95","2010-12-12"
"538499","17819.0","32","10.95","350.4","2010-12-12"
"538501","13715.0","2","5.95","11.9","2010-12-12"
"538503","17188.0","36","3.39","122.04","2010-12-12"
"538504","16011.0","4","2.1","8.4","2010-12-12"
"538507","15547.0","32","0.42","13.44","2010-12-12"
"538508","15998.0","2","2.95","5.9","2010-12-12"
"538509","14413.0","6","0.85","5.1","2010-12-12"
"538510","18004.0","1","1.69","1.69","2010-12-12"
"538511","13959.0","1","3.75","3.75","2010-12-12"
"538512","16665.0","36","1.45","52.199999999999996","2010-12-12"
"538513","15454.0","2","10.95","21.9","2010-12-12"
"538514","15044.0","25","0.42","10.5","2010-12-12"
"538515","17937.0","24","8.5","204","2010-12-12"
"538516","14608.0","48","4.25","204","2010-12-12"
"538517","17618.0","8","1.45","11.6","2010-12-12"
"538518","14505.0","6","4.25","25.5","2010-12-12"
"538519","18037.0","1","1.95","1.95","2010-12-12"
"538521","14180.0","3","5.95","17.85","2010-12-13"
"538522","16210.0","48","3.39","162.72","2010-12-13"
"538523","13198.0","12","2.95","35.400000000000006","2010-12-13"
"538526","13225.0","144","1.69","243.35999999999999","2010-12-13"
"538527","15361.0","24","1.25","30","2010-12-13"
"538528","15689.0","6","2.1","12.600000000000001","2010-12-13"
"538529","14290.0","6","2.1","12.600000000000001","2010-12-13"
"538532","13209.0","2","12.75","25.5","2010-12-13"
"538533","14796.0","32","2.55","81.6","2010-12-13"
"538534","15881.0","48","0.85","40.8","2010-12-13"
"538535","17790.0","6","2.55","15.299999999999999","2010-12-13"
"538537","12747.0","12","2.55","30.599999999999998","2010-12-13"
"538541","17428.0","3","5.95","17.85","2010-12-13"
"538557","17790.0","2","5.95","11.9","2010-12-13"
"538558","13069.0","1","2.55","2.55","2010-12-13"
"538565","13069.0","2","0.95","1.9","2010-12-13"
"538567","13999.0","10","1.95","19.5","2010-12-13"
"538576","14498.0","4","2.95","11.8","2010-12-13"
"538591","14741.0","24","0.85","20.4","2010-12-13"
"538592","15854.0","3","4.95","14.850000000000001","2010-12-13"
"538593","16701.0","48","1.25","60","2010-12-13"
"538594","16927.0","480","0.42","201.6","2010-12-13"
"538596","17990.0","6","2.95","17.700000000000003","2010-12-13"
"538597","15555.0","1","0.85","0.85","2010-12-13"
"538625","14544.0","12","0.85","10.2","2010-12-13"
"538626","17338.0","5","4.25","21.25","2010-12-13"
"538629","17799.0","3","2.1","6.300000000000001","2010-12-13"
"538630","14565.0","12","1.65","19.799999999999997","2010-12-13"
"538631","13408.0","24","2.1","50.400000000000006","2010-12-13"
"538633","16726.0","2","4.95","9.9","2010-12-13"
"538634","14085.0","1","12.75","12.75","2010-12-13"
"538635","17303.0","1","8.5","8.5","2010-12-13"
"538636","14639.0","12","2.1","25.200000000000003","2010-12-13"
"538637","17611.0","2","1.25","2.5","2010-12-13"
"538638","17231.0","2","1.65","3.3","2010-12-13"
"538639","17179.0","2","1.95","3.9","2010-12-13"
"538640","17524.0","18","2.1","37.800000000000004","2010-12-13"
"538641","15640.0","36","1.65","59.4","2010-12-13"
"538645","13269.0","24","0.65","15.600000000000001","2010-12-13"
"538646","17293.0","5","12.75","63.75","2010-12-13"
"538648","17937.0","48","2.55","122.39999999999999","2010-12-13"
"538651","15311.0","12","4.65","55.800000000000004","2010-12-13"
"538652","17890.0","3","0.95","2.8499999999999996","2010-12-13"
"538653","13089.0","24","0.85","20.4","2010-12-13"
"538654","13089.0","6","2.55","15.299999999999999","2010-12-13"
"538655","17375.0","2","4.25","8.5","2010-12-13"
"538656","17371.0","1","12.75","12.75","2010-12-13"
"538657","15867.0","1","19.95","19.95","2010-12-13"
"538658","17969.0","60","0.42","25.2","2010-12-13"
"538659","14625.0","12","2.95","35.400000000000006","2010-12-13"
"538660","15808.0","6","2.95","17.700000000000003","2010-12-13"
"538661","15194.0","4","3.75","15","2010-12-13"
"538662","15159.0","2","125","250","2010-12-13"
"538663","15159.0","2","12.75","25.5","2010-12-13"
"538664","14733.0","40","2.55","102","2010-12-13"
"538665","17576.0","2","7.95","15.9","2010-12-13"
"538667","12748.0","2","0.95","1.9","2010-12-13"
"538668","13211.0","40","2.55","102","2010-12-13"
"538669","12748.0","1","0.95","0.95","2010-12-13"
"538671","15777.0","12","1.25","15","2010-12-13"
"538679","16455.0","2","0.95","1.9","2010-12-13"
"538683","14525.0","6","1.25","7.5","2010-12-13"
"538685","15694.0","1","15","15","2010-12-14"
"538687","13324.0","16","10.95","175.2","2010-12-14"
"538688","14829.0","6","2.95","17.700000000000003","2010-12-14"
"538689","13050.0","3","4.95","14.850000000000001","2010-12-14"
"538697","13948.0","4","7.95","31.8","2010-12-14"
"538706","14667.0","5","2.95","14.75","2010-12-14"
"538707","17894.0","1","1.95","1.95","2010-12-14"
"538708","16202.0","12","1.25","15","2010-12-14"
"538709","16442.0","1","2.95","2.95","2010-12-14"
"538710","18075.0","3","5.95","17.85","2010-12-14"
"538714","14524.0","2","0.95","1.9","2010-12-14"
"538715","14907.0","4","3.45","13.8","2010-12-14"
"538716","14907.0","12","1.45","17.4","2010-12-14"
"538719","15602.0","48","1.25","60","2010-12-14"
"538721","17526.0","4","2.95","11.8","2010-12-14"
"538722","17975.0","1","1.65","1.65","2010-12-14"
"538744","15356.0","6","1.25","7.5","2010-12-14"
"538753","14901.0","4","14.95","59.8","2010-12-14"
"538783","14961.0","8","3.75","30","2010-12-14"
"538785","14961.0","6","4.95","29.700000000000003","2010-12-14"
"538795","13267.0","6","7.95","47.7","2010-12-14"
"538796","17041.0","3","4.95","14.850000000000001","2010-12-14"
"538797","17685.0","25","0.42","10.5","2010-12-14"
"538799","15039.0","2","3.25","6.5","2010-12-14"
"538800","16458.0","12","1.65","19.799999999999997","2010-12-14"
"538801","16083.0","12","1.85","22.200000000000003","2010-12-14"
"538807","17194.0","1","5","5","2010-12-14"
"538808","14057.0","1","1.95","1.95","2010-12-14"
"538809","15514.0","3","0.95","2.8499999999999996","2010-12-14"
"538810","14871.0","1","4.95","4.95","2010-12-14"
"538811","13178.0","6","2.55","15.299999999999999","2010-12-14"
"538812","18044.0","9","1.45","13.049999999999999","2010-12-14"
"538814","15983.0","16","2.95","47.2","2010-12-14"
"538815","18219.0","2","7.95","15.9","2010-12-14"
"538816","16812.0","4","3.75","15","2010-12-14"
"538817","16191.0","288","0.85","244.79999999999998","2010-12-14"
"538827","14298.0","40","1.25","50","2010-12-14"
"538828","14298.0","120","0.36","43.199999999999996","2010-12-14"
"538829","16191.0","384","0.85","326.4","2010-12-14"
"538830","14298.0","6","4.25","25.5","2010-12-14"
"538831","18144.0","16","2.1","33.6","2010-12-14"
"538832","17158.0","12","1.25","15","2010-12-14"
"538836","12748.0","2","2.1","4.2","2010-12-14"
"538839","14606.0","4","2.1","8.4","2010-12-14"
"538841","16899.0","5","0.85","4.25","2010-12-14"
"538843","16033.0","2","2.95","5.9","2010-12-14"
"538844","14680.0","48","1.65","79.19999999999999","2010-12-14"
"538845","16531.0","4","3.75","15","2010-12-14"
"538846","14606.0","2","2.55","5.1","2010-12-14"
"538849","14415.0","6","1.95","11.7","2010-12-14"
"538850","16499.0","2","12.75","25.5","2010-12-14"
"538851","16556.0","12","1.25","15","2010-12-14"
"538852","17372.0","3","4.25","12.75","2010-12-14"
"538853","16805.0","1","0.95","0.95","2010-12-14"
"538854","13102.0","2","8.5","17","2010-12-14"
"538855","16503.0","8","1.25","10","2010-12-14"
"538856","14057.0","24","0.55","13.200000000000001","2010-12-14"
"538857","15311.0","24","1.25","30","2010-12-14"
"538858","16553.0","24","2.55","61.199999999999996","2010-12-14"
"538859","16553.0","24","4.25","102","2010-12-14"
"538860","17757.0","11","1.65","18.15","2010-12-14"
"538862","16710.0","2","4.95","9.9","2010-12-14"
"538863","16919.0","24","1.95","46.8","2010-12-14"
"538864","17739.0","12","4.95","59.400000000000006","2010-12-14"
"538865","13238.0","10","1.95","19.5","2010-12-14"
"538866","17841.0","1","1.65","1.65","2010-12-14"
"538868","17017.0","36","1.25","45","2010-12-14"
"538869","15107.0","36","0.85","30.599999999999998","2010-12-14"
"538870","12829.0","60","0.19","11.4","2010-12-14"
"538871","14051.0","72","0.85","61.199999999999996","2010-12-14"
"538872","13097.0","6","3.95","23.700000000000003","2010-12-14"
"538875","13756.0","8","4.65","37.2","2010-12-14"
"538878","13767.0","8","3.75","30","2010-12-14"
"538879","15392.0","24","1.65","39.599999999999994","2010-12-14"
"538886","13846.0","12","0.65","7.800000000000001","2010-12-14"
"538888","17912.0","5","2.1","10.5","2010-12-14"
"538890","12867.0","6","2.55","15.299999999999999","2010-12-14"
"538892","16422.0","12","1.45","17.4","2010-12-14"
"538894","16161.0","1","12.75","12.75","2010-12-14"
"538895","14401.0","12","1.25","15","2010-12-15"
"538896","16145.0","24","0.19","4.5600000000000005","2010-12-15"
"538899","16817.0","4","4.25","17","2010-12-15"
"538900","13078.0","6","6.75","40.5","2010-12-15"
"538901","17629.0","8","3.75","30","2010-12-15"
"538902","14150.0","4","4.25","17","2010-12-15"
"538903","13496.0","1","8.95","8.95","2010-12-15"
"538905","13611.0","6","2.55","15.299999999999999","2010-12-15"
"538907","15373.0","4","6.75","27","2010-12-15"
"538908","16954.0","24","0.55","13.200000000000001","2010-12-15"
"538909","13491.0","2","7.95","15.9","2010-12-15"
"538910","17454.0","10","1.95","19.5","2010-12-15"
"538917","17449.0","2","2.55","5.1","2010-12-15"
"538935","18168.0","3","4.95","14.850000000000001","2010-12-15"
"538942","17346.0","24","0.42","10.08","2010-12-15"
"538943","14060.0","24","1.25","30","2010-12-15"
"538944","13295.0","12","2.1","25.200000000000003","2010-12-15"
"538945","17230.0","22","1.45","31.9","2010-12-15"
"538951","16782.0","1","3.75","3.75","2010-12-15"
"538967","13495.0","24","1.25","30","2010-12-15"
"538968","15384.0","25","0.42","10.5","2010-12-15"
"538991","17511.0","40","2.55","102","2010-12-15"
"538992","15950.0","10","3.45","34.5","2010-12-15"
"538993","15512.0","12","1.25","15","2010-12-15"
"538994","17525.0","4","7.95","31.8","2010-12-15"
"538995","13458.0","12","2.95","35.400000000000006","2010-12-15"
"538996","15465.0","3","7.95","23.85","2010-12-15"
"538998","15061.0","20","0.72","14.399999999999999","2010-12-15"
"538999","16003.0","6","1.45","8.7","2010-12-15"
"539000","13092.0","6","2.95","17.700000000000003","2010-12-15"
"539001","16353.0","24","4.25","102","2010-12-15"
"539002","14527.0","3","7.95","23.85","2010-12-15"
"539004","13426.0","6","2.95","17.700000000000003","2010-12-15"
"539005","16638.0","24","0.85","20.4","2010-12-15"
"539006","15101.0","4","5.95","23.8","2010-12-15"
"539007","17894.0","2","1.25","2.5","2010-12-15"
"539008","17033.0","16","2.55","40.8","2010-12-15"
"539009","13221.0","3","9.95","29.849999999999998","2010-12-15"
"539010","15005.0","4","1.55","6.2","2010-12-15"
"539011","14201.0","20","1.25","25","2010-12-15"
"539012","17858.0","192","0.85","163.2","2010-12-15"
"539014","17692.0","19","0.42","7.9799999999999995","2010-12-15"
"539015","15822.0","5","7.95","39.75","2010-12-15"
"539016","13418.0","2","125","250","2010-12-15"
"539017","13418.0","4","3.95","15.8","2010-12-15"
"539018","16134.0","9","1.45","13.049999999999999","2010-12-15"
"539019","17551.0","3","1.25","3.75","2010-12-15"
"539030","13089.0","72","1.25","90","2010-12-15"
"539032","18050.0","12","1.95","23.4","2010-12-15"
"539033","16365.0","36","6.35","228.6","2010-12-15"
"539034","16161.0","3","3.45","10.350000000000001","2010-12-15"
"539036","14913.0","6","4.25","25.5","2010-12-15"
"539038","15641.0","12","1.95","23.4","2010-12-15"
"539039","13124.0","24","1.45","34.8","2010-12-15"
"539040","17214.0","5","1.65","8.25","2010-12-15"
"539041","15456.0","24","0.5","12","2010-12-15"
"539042","15062.0","24","0.65","15.600000000000001","2010-12-15"
"539043","12928.0","24","0.42","10.08","2010-12-15"
"539044","15727.0","2","125","250","2010-12-15"
"539046","17980.0","2","0.95","1.9","2010-12-15"
"539047","15290.0","12","2.55","30.599999999999998","2010-12-15"
"539048","17752.0","192","0.42","80.64","2010-12-15"
"539049","15615.0","4","9.95","39.8","2010-12-15"
"539051","15615.0","3","4.95","14.850000000000001","2010-12-15"
"539052","15615.0","6","2.95","17.700000000000003","2010-12-15"
"539053","16725.0","1","5.95","5.95","2010-12-15"
"539056","16725.0","1","1.45","1.45","2010-12-15"
"539064","17912.0","1","9.95","9.95","2010-12-15"
"539075","17189.0","1","1.45","1.45","2010-12-15"
"539076","16525.0","10","6.75","67.5","2010-12-16"
"539077","13089.0","144","1.45","208.79999999999998","2010-12-16"
"539078","13408.0","40","1.25","50","2010-12-16"
"539079","17496.0","8","4.65","37.2","2010-12-16"
"539080","16607.0","1","295","295","2010-12-16"
"539082","13317.0","2","7.95","15.9","2010-12-16"
"539083","13317.0","3","4.95","14.850000000000001","2010-12-16"
"539084","13890.0","4","3.75","15","2010-12-16"
"539085","12748.0","24","1.06","25.44","2010-12-16"
"539086","17001.0","18","2.95","53.1","2010-12-16"
"539087","13093.0","100","1.65","165","2010-12-16"
"539088","13093.0","3","5.95","17.85","2010-12-16"
"539089","15246.0","4","3.75","15","2010-12-16"
"539091","13756.0","8","4.65","37.2","2010-12-16"
"539092","15482.0","6","2","12","2010-12-16"
"539093","15482.0","48","3.45","165.60000000000002","2010-12-16"
"539094","13021.0","10","1.95","19.5","2010-12-16"
"539095","16037.0","24","0.29","6.959999999999999","2010-12-16"
"539096","13089.0","216","1.45","313.2","2010-12-16"
"539098","14841.0","12","2.1","25.200000000000003","2010-12-16"
"539099","16670.0","4","3.75","15","2010-12-16"
"539101","16029.0","2400","0.94","2256","2010-12-16"
"539102","16029.0","144","1.65","237.6","2010-12-16"
"539103","16985.0","3","5.95","17.85","2010-12-16"
"539105","14825.0","24","0.42","10.08","2010-12-16"
"539106","16705.0","96","0.85","81.6","2010-12-16"
"539107","16705.0","48","1.25","60","2010-12-16"
"539108","16013.0","48","4.25","204","2010-12-16"
"539109","16013.0","300","0.72","216","2010-12-16"
"539111","14414.0","24","1.25","30","2010-12-16"
"539112","13468.0","12","1.95","23.4","2010-12-16"
"539118","15563.0","3","2.1","6.300000000000001","2010-12-16"
"539142","14849.0","25","0.42","10.5","2010-12-16"
"539143","14849.0","4","3.95","15.8","2010-12-16"
"539144","12980.0","36","4.65","167.4","2010-12-16"
"539160","16746.0","10","0.85","8.5","2010-12-16"
"539181","12748.0","1","7.95","7.95","2010-12-16"
"539185","16470.0","2","0.95","1.9","2010-12-16"
"539196","18055.0","6","5.49","32.94","2010-12-16"
"539201","14878.0","12","2.95","35.400000000000006","2010-12-16"
"539211","16743.0","48","0.42","20.16","2010-12-16"
"539212","17146.0","2","9.95","19.9","2010-12-16"
"539213","12877.0","12","0.85","10.2","2010-12-16"
"539214","17062.0","1","2.95","2.95","2010-12-16"
"539215","15574.0","1","7.95","7.95","2010-12-16"
"539216","12748.0","1","4.25","4.25","2010-12-16"
"539217","15394.0","12","1.25","15","2010-12-16"
"539218","15574.0","1","3.75","3.75","2010-12-16"
"539219","17951.0","12","2.1","25.200000000000003","2010-12-16"
"539222","14621.0","4","3.75","15","2010-12-16"
"539225","15379.0","36","1.45","52.199999999999996","2010-12-16"
"539226","14309.0","24","1.25","30","2010-12-16"
"539240","15194.0","20","1.25","25","2010-12-16"
"539243","18116.0","3","2.95","8.850000000000001","2010-12-16"
"539246","14606.0","2","3.75","7.5","2010-12-16"
"539247","15311.0","36","0.42","15.12","2010-12-16"
"539248","17288.0","24","1.25","30","2010-12-16"
"539249","14709.0","4","7.95","31.8","2010-12-16"
"539250","15157.0","36","0.42","15.12","2010-12-16"
"539252","17744.0","12","3.95","47.400000000000006","2010-12-16"
"539254","13199.0","24","1.25","30","2010-12-16"
"539255","16316.0","12","1.65","19.799999999999997","2010-12-16"
"539256","15601.0","6","2.95","17.700000000000003","2010-12-16"
"539257","16210.0","480","3.39","1627.2","2010-12-16"
"539259","13050.0","12","0.85","10.2","2010-12-16"
"539261","15620.0","3","4.95","14.850000000000001","2010-12-16"
"539262","15789.0","20","0.85","17","2010-12-16"
"539263","16560.0","2","6.75","13.5","2010-12-16"
"539264","15224.0","12","1.45","17.4","2010-12-16"
"539266","17068.0","5","2.1","10.5","2010-12-16"
"539267","13534.0","10","1.95","19.5","2010-12-16"
"539268","13534.0","3","4.95","14.850000000000001","2010-12-16"
"539269","17580.0","4","4.25","17","2010-12-16"
"539272","15759.0","4","9.95","39.8","2010-12-16"
"539275","13408.0","12","1.25","15","2010-12-16"
"539280","14373.0","12","0.85","10.2","2010-12-16"
"539281","18176.0","6","2.1","12.600000000000001","2010-12-16"
"539282","16770.0","4","3.75","15","2010-12-16"
"539283","14092.0","6","2.55","15.299999999999999","2010-12-16"
"539285","15366.0","12","0.42","5.04","2010-12-16"
"539286","14735.0","16","3.75","60","2010-12-16"
"539288","17857.0","10","0.55","5.5","2010-12-16"
"539290","16271.0","2","0.95","1.9","2010-12-16"
"539292","16539.0","3","4.95","14.850000000000001","2010-12-16"
"539293","18223.0","2","7.95","15.9","2010-12-16"
"539294","15532.0","1","5.95","5.95","2010-12-16"
"539295","13767.0","96","0.85","81.6","2010-12-16"
"539296","16816.0","6","2.1","12.600000000000001","2010-12-16"
"539297","17691.0","6","2.95","17.700000000000003","2010-12-16"
"539298","14180.0","2","8.5","17","2010-12-16"
"539299","14180.0","2","8.5","17","2010-12-16"
"539303","16684.0","12","5.95","71.4","2010-12-16"
"539304","16684.0","144","2.1","302.40000000000003","2010-12-16"
"539305","14334.0","12","1.25","15","2010-12-16"
"539306","17659.0","1","39.95","39.95","2010-12-16"
"539307","13694.0","60","1.25","75","2010-12-16"
"539308","17412.0","6","2.95","17.700000000000003","2010-12-16"
"539309","16945.0","10","0.85","8.5","2010-12-16"
"539310","14344.0","4","3.75","15","2010-12-16"
"539311","14643.0","8","1.25","10","2010-12-16"
"539312","15197.0","24","1.25","30","2010-12-16"
"539313","14220.0","12","1.25","15","2010-12-16"
"539314","13874.0","6","2.95","17.700000000000003","2010-12-16"
"539315","18260.0","12","0.85","10.2","2010-12-16"
"539316","17848.0","3","12.75","38.25","2010-12-16"
"539317","17392.0","1","14.95","14.95","2010-12-16"
"539319","12967.0","18","3.75","67.5","2010-12-16"
"539321","14723.0","1","12.75","12.75","2010-12-16"
"539322","14713.0","1","2.55","2.55","2010-12-16"
"539324","14985.0","1","1.25","1.25","2010-12-16"
"539325","13004.0","4","3.75","15","2010-12-17"
"539326","14560.0","12","8.5","102","2010-12-17"
"539328","13854.0","24","0.42","10.08","2010-12-17"
"539331","16013.0","300","0.72","216","2010-12-17"
"539332","12931.0","200","0.72","144","2010-12-17"
"539333","13627.0","24","0.42","10.08","2010-12-17"
"539334","12748.0","1","1.25","1.25","2010-12-17"
"539335","15291.0","4","12.75","51","2010-12-17"
"539336","17790.0","24","0.85","20.4","2010-12-17"
"539374","14769.0","4","5.95","23.8","2010-12-17"
"539379","15780.0","12","0.55","6.6000000000000005","2010-12-17"
"539400","12971.0","6","2.95","17.700000000000003","2010-12-17"
"539404","17315.0","1","2.55","2.55","2010-12-17"
"539406","16711.0","36","5.95","214.20000000000002","2010-12-17"
"539410","16353.0","24","4.25","102","2010-12-17"
"539411","14243.0","3","4.95","14.850000000000001","2010-12-17"
"539414","16931.0","1","0.95","0.95","2010-12-17"
"539415","15204.0","12","1.25","15","2010-12-17"
"539416","17888.0","24","0.42","10.08","2010-12-17"
"539417","17007.0","6","2.95","17.700000000000003","2010-12-17"
"539418","17007.0","8","1.25","10","2010-12-17"
"539420","15160.0","12","1.65","19.799999999999997","2010-12-17"
"539422","13033.0","3","5.95","17.85","2010-12-17"
